AT1G13950	ATELF5A-1,EIF-5A,EIF5A,ELF5A-1
AT1G13960	WRKY4
AT1G13980	EMB30,GN,VAN7
AT1G14000	VIK
AT1G14030	LSMT-L
AT1G14070	FUT7
AT1G14071	MIR830A
AT1G14080	ATFUT6,FUT6
AT1G14100	FUT8
AT1G14110	ATFUT9,FUT9
AT1G14140	UCP3
AT1G14150	PnsL2,PQL1,PQL2
AT1G14182	SCRL28
AT1G14280	PKS2
AT1G14290	SBH2
AT1G14320	RPL10,RPL10A,SAC52
AT1G14350	AtMYB124,FLP,MYB124
AT1G14360	ATUTR3,UTR3
AT1G14370	APK2A,Kin1,PBL2
AT1G14380	IQD28
AT1G14400	ATUBC1,UBC1,UBC1
AT1G14410	ATWHY1,PTAC1,WHY1
AT1G14420	AT59
AT1G14440	AtHB31,FTM2,HB31,ZHD4
AT1G14490	AHL28
AT1G14510	AL7,AtAL7
AT1G14520	MIOX1
AT1G14530	THH1
AT1G14540	PER4
AT1G14560	CoAc1
AT1G14570	AtPUX7,PUX7
AT1G14610	TWN2,VALRS
AT1G14620	DECOY
AT1G14660	ATNHX8,NHX8,NHX8
AT1G14685	ATBPC2,BBR/BPC2,BPC2
AT1G14687	AtHB32,HB32,ZHD14
AT1G14690	MAP65-7
AT1G14700	ATPAP3,PAP3
AT1G14720	ATXTH28,EXGT-A2,XTH28,XTR2
AT1G14740	TTA1
AT1G14750	SDS
AT1G14760	KNATM
AT1G14790	AtRDR1,ATRDRP1,RDR1
AT1G14830	ADL1C,ADL5,DL1C,DRP1C
AT1G14840	ATMAP70-4,MAP70-4
AT1G14850	NUP155
AT1G14860	atnudt18,NUDT18
AT1G14870	AtPCR2,PCR2
AT1G14880	AtPCR1,PCR1
AT1G14900	HMGA
AT1G14920	GAI,RGA2
AT1G14980	CPN10
AT1G15000	scpl50
AT1G15020	ATQSOX1,QSO2,QSOX1
AT1G15040	GAT,GAT1_2.1
AT1G15050	IAA34
AT1G15080	ATLPP2,ATPAP2,LPP2
AT1G15100	RHA2A
AT1G15110	PSS1
AT1G15210	ABCG35,ATPDR7,PDR7
AT1G15215	DTF1,SHH1
AT1G15220	ATCCMH,CCMH
AT1G15300	CYTOSLEEPER
AT1G15310	ATHSRP54A,SRP54-1
AT1G15340	MBD10
AT1G15360	AtSHN1,SHN1,WIN1
AT1G15380	GLYI4
AT1G15390	ATDEF1,PDF1A
AT1G15440	ATPWP2,PWP2
AT1G15460	ATBOR4,BOR4
AT1G15500	ATNTT2
AT1G15510	ATECB2,ECB2,VAC1
AT1G15520	ABCG40,ATABCG40,ATPDR12,PDR12
AT1G15530	LecRK-S.1
AT1G15550	ATGA3OX1,GA3OX1,GA4
AT1G15570	CYCA2;3
AT1G15580	ATAUX2-27,AUX2-27,IAA5
AT1G15660	CENP-C,CENP-C
AT1G15670	KFB01,KMD2
AT1G15690	AtAVP1,ATAVP3,AtVHP1;1,AVP-3,AVP1,FUGU5,VHP1
AT1G15700	ATPC2
AT1G15720	TRFL5
AT1G15750	TPL,WSIP1
AT1G15780	NRB4
AT1G15820	CP24,LHCB6
AT1G15880	atgos11,GOS11
AT1G15910	FDM1,IDNL1,IDP1
AT1G15950	ATCCR1,CCR1,IRX4
AT1G15960	ATNRAMP6,NRAMP6
AT1G15980	NDF1,NDH48,PnsB1
AT1G15990	ATCNGC7,CNGC7
AT1G16010	AtMGT2,AtMRS2-1,MGT2,MRS2-1
AT1G16030	Hsp70b
AT1G16060	ADAP,WRI3
AT1G16070	AtTLP8,TLP8
AT1G16090	WAKL7
AT1G16110	WAKL6
AT1G16120	WAKL1
AT1G16130	WAKL2
AT1G16140	WAKL3
AT1G16150	WAKL4
AT1G16160	WAKL5
AT1G16190	RAD23A
AT1G16240	ATSYP51,SYP51
AT1G16280	AtRH36,RH36,SWA3
AT1G16300	GAPCP-2
AT1G16330	CYCB3;1
AT1G16340	ATKDSA2,ATKSDA
AT1G16370	ATOCT6,OCT6
AT1G16380	ATCHX1,CHX1
AT1G16390	ATOCT3,OCT3
AT1G16400	CYP79F2
AT1G16410	BUS1,CYP79F1,SPS1
AT1G16420	ATMC8,AtMCP2e,MC8,MCP2e
AT1G16440	RSH3
AT1G16460	ATMST2,ATRDH2,MST2,RDH2,ST2,STR2
AT1G16470	PAB1
AT1G16490	ATMYB58,MYB58
AT1G16510	SAUR41
AT1G16530	ASL9,LBD3
AT1G16540	ABA3,ACI2,ATABA3,AtLOS5,LOS5,SIR3
AT1G16590	ATREV7,REV7
AT1G16610	AtSR45,RNPS1,SR45
AT1G16710	HAC12
AT1G16720	HCF173
AT1G16730	UP6
AT1G16780	AtVHP2;2,VHP2;2
AT1G16858	CPuORF55
AT1G16880	ACR11
